CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance
11000,26,Jon,Yang,23-Dec-62,M,M,"$90,000.00",0,Bachelors,Professional,1,0,1-2 Miles
11001,37,Eugene,Huang,23-Jun-76,S,M,"$60,000.00",3,Bachelors,Professional,0,1,0-1 Miles
11002,31,Ruben,Torres,19-Aug-66,M,M,"$60,000.00",3,Bachelors,Professional,1,1,2-5 Miles
11003,11,Christy,Zhu,09-Dec-87,S,F,"$70,000.00",0,Bachelors,Professional,0,1,5-10 Miles
11004,19,Elizabeth,Johnson,06-Jun-90,S,F,"$80,000.00",5,Bachelors,Professional,1,4,1-2 Miles
11005,22,Julio,Ruiz,13-Dec-60,S,M,"$70,000.00",0,Bachelors,Professional,1,1,5-10 Miles
11006,8,Janet,Alvarez,19-Feb-81,S,F,"$70,000.00",0,Bachelors,Professional,1,1,5-10 Miles
11007,40,Marco,Mehta,08-Jan-82,M,M,"$60,000.00",3,Bachelors,Professional,1,2,0-1 Miles
11008,32,Rob,Verhoff,13-Aug-97,S,F,"$60,000.00",4,Bachelors,Professional,1,3,10+ Miles
11009,25,Shannon,Carlson,24-Mar-95,S,M,"$70,000.00",0,Bachelors,Professional,0,1,5-10 Miles
11010,22,Jacquelyn,Suarez,27-Apr-85,S,F,"$70,000.00",0,Bachelors,Professional,0,1,5-10 Miles
11011,22,Curtis,Lu,06-Jul-69,M,M,"$60,000.00",4,Bachelors,Professional,1,4,10+ Miles
11012,611,Lauren,Walker,25-Feb-95,M,F,"$100,000.00",0,Bachelors,Management,1,2,1-2 Miles
11013,543,Ian,Jenkins,06-Jun-90,M,M,"$100,000.00",0,Bachelors,Management,1,3,0-1 Miles
11014,634,Sydney,Bennett,21-Jun-62,S,F,"$100,000.00",0,Bachelors,Management,0,3,1-2 Miles
11015,301,Chloe,Young,26-Mar-85,S,F,"$30,000.00",0,Partial College,Skilled Manual,0,1,5-10 Miles
11016,329,Wyatt,Hill,02-Mar-94,M,M,"$30,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11017,39,Shannon,Wang,12-Sep-80,S,F,"$20,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11018,32,Clarence,Rai,26-Jun-85,S,M,"$30,000.00",0,Partial College,Clerical,1,2,5-10 Miles
11019,52,Luke,Lal,03-Oct-62,S,M,"$40,000.00",0,High School,Skilled Manual,0,2,5-10 Miles
11020,53,Jordan,King,13-Sep-92,S,M,"$40,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11021,536,Destiny,Wilson,05-Jan-77,S,F,"$40,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11022,609,Ethan,Zhang,28-Jun-76,M,M,"$40,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11023,298,Seth,Edwards,19-Jun-70,M,M,"$40,000.00",0,Partial College,Skilled Manual,1,1,1-2 Miles
11024,311,Russell,Xie,30-Aug-99,M,M,"$60,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11025,24,Alejandro,Beck,12-Nov-65,M,M,"$10,000.00",1,Partial High School,Clerical,1,2,1-2 Miles
11026,4,Harold,Sai,06-Feb-98,S,M,"$30,000.00",0,Partial College,Clerical,0,2,1-2 Miles
11027,40,Jessie,Zhao,30-Jul-64,M,M,"$30,000.00",0,Partial College,Clerical,1,2,5-10 Miles
11028,17,Jill,Jimenez,13-Oct-86,M,F,"$30,000.00",0,Partial College,Clerical,1,2,1-2 Miles
11029,32,Jimmy,Moreno,11-Sep-82,M,M,"$30,000.00",0,Partial College,Clerical,1,2,1-2 Miles
11030,28,Bethany,Yuan,03-Feb-84,M,F,"$10,000.00",1,Partial High School,Clerical,1,2,1-2 Miles
11031,8,Theresa,Ramos,31-Mar-83,M,F,"$20,000.00",0,High School,Skilled Manual,1,2,1-2 Miles
11032,35,Denise,Stone,09-Jul-97,M,F,"$20,000.00",0,High School,Skilled Manual,1,2,1-2 Miles
11033,9,Jaime,Nath,29-Apr-90,M,M,"$20,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11034,12,Ebony,Gonzalez,24-Mar-84,M,F,"$20,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11035,33,Wendy,Dominguez,02-Aug-77,M,F,"$10,000.00",1,Partial High School,Clerical,1,2,1-2 Miles
11036,343,Jennifer,Russell,05-May-82,M,F,"$60,000.00",0,Partial College,Skilled Manual,1,2,1-2 Miles
11037,49,Chloe,Garcia,22-Dec-94,S,F,"$40,000.00",0,Partial High School,Clerical,0,2,5-10 Miles
11038,6,Diana,Hernandez,30-Nov-64,M,F,"$10,000.00",1,Partial High School,Clerical,1,2,5-10 Miles
11039,19,Marc,Martin,16-Oct-77,M,M,"$30,000.00",0,Partial College,Clerical,1,2,5-10 Miles
11040,642,Jesse,Murphy,11-May-84,M,M,"$30,000.00",0,Partial College,Skilled Manual,1,2,1-2 Miles
11041,325,Amanda,Carter,13-Oct-99,M,F,"$60,000.00",0,Partial College,Skilled Manual,1,2,1-2 Miles
11042,338,Megan,Sanchez,12-Mar-82,M,F,"$70,000.00",0,Partial College,Skilled Manual,1,2,0-1 Miles
11043,325,Nathan,Simmons,27-Feb-65,M,M,"$60,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11044,25,Adam,Flores,01-Mar-88,M,M,"$20,000.00",1,Partial High School,Clerical,1,2,1-2 Miles
11045,8,Leonard,Nara,20-Jun-78,S,M,"$30,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11046,6,Christine,Yuan,30-Oct-88,M,F,"$30,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11047,34,Jaclyn,Lu,28-Dec-94,M,F,"$30,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11048,39,Jeremy,Powell,09-May-89,M,M,"$30,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11049,307,Carol,Rai,17-Apr-97,S,F,"$40,000.00",0,Partial High School,Clerical,1,2,5-10 Miles
11050,31,Alan,Zheng,12-Feb-91,M,M,"$30,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11051,21,Daniel,Johnson,25-Aug-91,S,M,"$30,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11052,8,Heidi,Lopez,25-Feb-82,S,F,"$40,000.00",0,Partial College,Clerical,0,2,5-10 Miles
11053,359,Ana,Price,11-Nov-89,M,F,"$60,000.00",0,Partial College,Skilled Manual,0,2,1-2 Miles
11054,34,Deanna,Munoz,22-Oct-94,M,F,"$40,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11055,22,Gilbert,Raje,30-May-79,M,M,"$40,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11056,10,Michele,Nath,07-Nov-76,M,F,"$40,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11057,5,Carl,Andersen,19-Jan-80,M,M,"$70,000.00",0,Graduate Degree,Management,1,2,1-2 Miles
11058,29,Marc,Diaz,01-Jan-99,M,M,"$80,000.00",0,Partial College,Skilled Manual,1,2,1-2 Miles
11059,27,Ashlee,Andersen,18-Jul-93,S,F,"$80,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11060,40,Jon,Zhou,16-Oct-92,M,M,"$80,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11061,23,Todd,Gao,15-Apr-98,M,M,"$80,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11062,547,Noah,Powell,06-Mar-86,M,M,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11063,634,Angela,Murphy,19-Jan-65,S,F,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11064,315,Chase,Reed,18-Sep-63,M,M,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11065,331,Jessica,Henderson,12-Feb-72,M,F,"$60,000.00",0,Partial College,Skilled Manual,0,2,1-2 Miles
11066,543,Grace,Butler,02-May-85,M,F,"$70,000.00",0,Partial College,Professional,1,2,5-10 Miles
11067,632,Caleb,Carter,02-Apr-75,S,M,"$60,000.00",0,Partial College,Professional,1,2,5-10 Miles
11068,40,Tiffany,Liang,17-Aug-63,S,F,"$80,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11069,23,Carolyn,Navarro,30-Nov-88,S,F,"$80,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11070,39,Willie,Raji,27-Aug-87,M,M,"$80,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11071,24,Linda,Serrano,30-Oct-86,S,F,"$80,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11072,17,Casey,Luo,21-Dec-74,S,F,"$80,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11073,16,Amy,Ye,10-May-66,S,F,"$70,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11074,28,Levi,Arun,01-Jan-62,S,M,"$70,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11075,32,Felicia,Jimenez,21-Nov-68,S,F,"$80,000.00",0,High School,Professional,1,2,5-10 Miles
11076,19,Blake,Anderson,15-Dec-87,S,M,"$80,000.00",0,High School,Professional,1,2,5-10 Miles
11077,36,Leah,Ye,06-Jan-80,S,F,"$80,000.00",0,High School,Professional,0,2,1-2 Miles
11078,49,Gina,Martin,17-Sep-68,S,F,"$40,000.00",0,High School,Professional,0,2,1-2 Miles
11079,34,Donald,Gonzalez,05-Jan-72,S,M,"$160,000.00",0,Graduate Degree,Management,1,2,0-1 Miles
11080,30,Damien,Chander,30-Mar-94,M,M,"$170,000.00",0,Graduate Degree,Management,1,2,0-1 Miles
11081,311,Savannah,Baker,26-Mar-78,M,F,"$120,000.00",2,Bachelors,Management,1,3,2-5 Miles
11082,322,Angela,Butler,29-Sep-76,S,F,"$130,000.00",1,Graduate Degree,Management,0,3,1-2 Miles
11083,336,Alyssa,Cox,08-Nov-96,M,F,"$130,000.00",1,Graduate Degree,Management,1,3,1-2 Miles
11084,543,Lucas,Phillips,23-Oct-75,S,M,"$80,000.00",0,Partial High School,Skilled Manual,0,2,1-2 Miles
11085,345,Emily,Johnson,01-Mar-63,S,F,"$60,000.00",0,High School,Professional,0,2,5-10 Miles
11086,369,Ryan,Brown,26-Jun-87,M,M,"$70,000.00",1,Partial College,Professional,1,0,0-1 Miles
11087,307,Tamara,Liang,21-Jun-68,M,F,"$70,000.00",2,Partial College,Professional,0,0,0-1 Miles
11088,359,Hunter,Davis,08-Dec-87,M,M,"$80,000.00",1,Bachelors,Management,1,0,2-5 Miles
11089,337,Abigail,Price,08-Dec-61,S,F,"$80,000.00",1,Bachelors,Management,1,1,2-5 Miles
11090,338,Trevor,Bryant,13-May-88,S,M,"$90,000.00",0,Partial College,Professional,1,1,2-5 Miles
11091,50,Dalton,Perez,21-Oct-88,M,M,"$90,000.00",0,Partial College,Professional,1,1,5-10 Miles
11092,22,Cheryl,Diaz,31-Jan-85,M,F,"$90,000.00",2,Bachelors,Professional,1,0,1-2 Miles
11093,19,Aimee,He,03-Dec-77,M,F,"$100,000.00",0,Graduate Degree,Management,1,0,0-1 Miles
11094,33,Cedric,Ma,09-Aug-87,S,M,"$70,000.00",0,Partial College,Skilled Manual,0,1,0-1 Miles
11095,13,Chad,Kumar,29-Sep-90,S,M,"$70,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11096,12,Andrés,Anand,03-Mar-81,M,M,"$60,000.00",0,Bachelors,Professional,1,1,5-10 Miles
11097,40,Edwin,Nara,18-Dec-71,M,M,"$60,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11098,14,Mallory,Rubio,15-Feb-83,S,F,"$60,000.00",0,Partial College,Skilled Manual,0,1,0-1 Miles
11099,13,Adam,Ross,05-Jan-68,M,M,"$60,000.00",0,Bachelors,Professional,1,1,0-1 Miles
11100,28,Latasha,Navarro,20-Jun-94,S,F,"$60,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11101,33,Abby,Sai,06-Dec-76,S,F,"$70,000.00",0,Bachelors,Professional,0,1,0-1 Miles
11102,18,Julia,Nelson,09-Mar-90,S,F,"$80,000.00",5,Bachelors,Professional,1,4,1-2 Miles
11103,3,Cassie,Chande,28-Mar-87,S,F,"$70,000.00",0,Bachelors,Professional,1,1,5-10 Miles
11104,23,Edgar,Sara,03-Feb-74,M,M,"$70,000.00",0,Bachelors,Professional,0,1,0-1 Miles
11105,8,Candace,Fernandez,01-Aug-62,S,F,"$70,000.00",0,Bachelors,Professional,0,1,5-10 Miles
11106,40,Jessie,Liu,19-Feb-70,S,M,"$70,000.00",0,Bachelors,Professional,0,1,5-10 Miles
11107,17,Bianca,Lin,27-Mar-75,M,F,"$90,000.00",0,Bachelors,Professional,1,1,5-10 Miles
11108,13,Kari,Alvarez,26-May-62,S,F,"$70,000.00",0,Bachelors,Professional,0,2,0-1 Miles
11109,38,Ruben,Kapoor,25-Dec-97,S,M,"$70,000.00",0,Bachelors,Professional,0,2,0-1 Miles
11110,3,Curtis,Yang,21-Jun-90,M,M,"$60,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11111,34,Meredith,Gutierrez,14-Mar-75,M,F,"$60,000.00",0,Partial College,Skilled Manual,1,1,0-1 Miles
11112,25,Crystal,Wang,02-May-75,M,F,"$60,000.00",0,Partial College,Skilled Manual,1,1,0-1 Miles
11113,30,Micheal,Blanco,04-Oct-82,M,M,"$70,000.00",4,Bachelors,Professional,1,2,5-10 Miles
11114,14,Leslie,Moreno,18-Oct-96,S,F,"$70,000.00",4,Partial College,Skilled Manual,1,2,5-10 Miles
11115,17,Alvin,Cai,22-Sep-73,M,M,"$70,000.00",4,Partial College,Skilled Manual,1,2,0-1 Miles
11116,18,Clinton,Carlson,23-Jan-83,M,M,"$70,000.00",4,Partial College,Skilled Manual,1,2,5-10 Miles
11117,8,April,Deng,15-Feb-82,M,F,"$70,000.00",4,Partial College,Skilled Manual,1,3,10+ Miles
11118,6,Alvin,Zeng,09-Mar-60,S,M,"$80,000.00",0,Partial College,Skilled Manual,0,1,0-1 Miles
11119,13,Evan,James,22-Jun-66,S,M,"$30,000.00",0,Partial College,Clerical,0,2,0-1 Miles
11120,18,Beth,Jiménez,08-Jan-87,S,F,"$40,000.00",0,Bachelors,Management,1,1,5-10 Miles
11121,10,Orlando,Suarez,18-Nov-63,M,M,"$70,000.00",4,Partial College,Skilled Manual,1,3,10+ Miles
11122,12,Byron,Vazquez,12-Nov-96,M,M,"$70,000.00",4,Partial College,Skilled Manual,1,3,5-10 Miles
11123,39,Philip,Alvarez,29-Oct-78,M,M,"$70,000.00",4,Partial College,Skilled Manual,1,3,10+ Miles
11124,40,Ross,Jordan,29-Jun-77,S,M,"$80,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11125,37,Dana,Navarro,29-Mar-99,S,F,"$70,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11126,11,Shaun,Carson,27-Jun-76,M,M,"$10,000.00",1,High School,Skilled Manual,0,2,0-1 Miles
11127,361,Jan,Edwards,21-Feb-96,M,F,"$40,000.00",0,High School,Skilled Manual,1,1,5-10 Miles
11128,635,Samantha,Long,17-Apr-63,M,F,"$40,000.00",0,High School,Skilled Manual,1,1,5-10 Miles
11129,638,Julia,Wright,22-Jan-91,S,F,"$40,000.00",0,High School,Skilled Manual,1,1,5-10 Miles
11130,543,Caroline,Russell,29-Apr-84,M,F,"$30,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
